Drug,lncRNA
3 3' 4 4'-tetrachlorobiphenyl,RP11-425D10.10
3 3' 4 4'-tetrachlorobiphenyl,AC016910.1
3 3' 4 4'-tetrachlorobiphenyl,RP11-48B3.4
3 3' 4 4'-tetrachlorobiphenyl,RP11-485M7.3
3 3' 4 4'-tetrachlorobiphenyl,BPESC1
3 3' 4 4'-tetrachlorobiphenyl,DPH6-AS1
3 3' 4 4'-tetrachlorobiphenyl,RP4-794H19.1
3 3' 4 4'-tetrachlorobiphenyl,RP11-472K22.1
3 3' 4 4'-tetrachlorobiphenyl,CTD-2526A2.2
3 3' 4 4'-tetrachlorobiphenyl,PSMD6-AS2
3 3' 4 4'-tetrachlorobiphenyl,LINC00290
3 3' 4 4'-tetrachlorobiphenyl,RP11-666I19.2
3 3' 4 4'-tetrachlorobiphenyl,RP5-1031D4.2
3 3' 4 4'-tetrachlorobiphenyl,AC084125.4
3 3' 4 4'-tetrachlorobiphenyl,LA16c-313D11.9
3 3' 4 4'-tetrachlorobiphenyl,RP11-1114A5.4
3 3' 4 4'-tetrachlorobiphenyl,RP11-834C11.3
3 3' 4 4'-tetrachlorobiphenyl,LINC00616
3 3' 4 4'-tetrachlorobiphenyl,RP11-56L13.1
3 3' 4 4'-tetrachlorobiphenyl,RP4-777D9.2
3 3' 4 4'-tetrachlorobiphenyl,RP11-717H13.1
